Quality_assessment	SampleType	MAG_ID	n_contigs	contig_bp	ctg_N50	ctg_L50	gc_avg	Completeness	Contamination	quality_score
High-quality	Feces	fecal_MAG_1	277	2043674	66	9503	0.47128	85.34	0.71	81.79
High-quality	Feces	fecal_MAG_10	46	2380854	11	83366	0.37817	96.56	0.0	96.56
High-quality	Feces	fecal_MAG_100	218	2401202	49	16192	0.46236	95.62	0.92	91.02
High-quality	Feces	fecal_MAG_101	428	2771537	83	9467	0.47940	87.03	6.54	54.33
High-quality	Feces	fecal_MAG_102	811	3744890	190	5762	0.51557	85.84	2.54	73.14
High-quality	Feces	fecal_MAG_103	684	1703199	188	2849	0.36173	83.25	4.09	62.8
High-quality	Feces	fecal_MAG_104	651	2595829	153	4920	0.56853	89.13	3.54	71.43
High-quality	Feces	fecal_MAG_105	401	2363766	62	10662	0.47183	90.19	6.19	59.24
High-quality	Feces	fecal_MAG_106	82	2206419	20	35655	0.58322	94.15	1.13	88.5
High-quality	Feces	fecal_MAG_107	134	1749941	23	21127	0.44813	84.49	0.74	80.79
High-quality	Feces	fecal_MAG_108	80	2173223	16	44740	0.53857	96.42	0.0	96.42
High-quality	Feces	fecal_MAG_109	87	2063926	20	34729	0.35101	90.16	0.67	86.81
High-quality	Feces	fecal_MAG_11	407	1600483	94	5198	0.53881	84.79	5.17	58.94
High-quality	Feces	fecal_MAG_110	135	1745812	28	20753	0.55623	82.2	1.34	75.5
High-quality	Feces	fecal_MAG_111	182	1349280	42	9261	0.47542	82.61	0.67	79.26
High-quality	Feces	fecal_MAG_112	208	2221697	37	16894	0.38954	95.08	3.02	79.98
High-quality	Feces	fecal_MAG_113	616	2102652	144	4242	0.48402	86.84	2.76	73.04
High-quality	Feces	fecal_MAG_114	430	1239914	106	3405	0.52110	82.11	1.85	72.86
High-quality	Feces	fecal_MAG_115	322	2945212	72	13098	0.49914	95.29	0.06	94.99
High-quality	Feces	fecal_MAG_116	387	2001946	89	6349	0.54517	88.7	2.2	77.7
High-quality	Feces	fecal_MAG_117	419	2177743	93	7017	0.50718	93.39	3.08	77.99
High-quality	Feces	fecal_MAG_118	506	2001109	102	5368	0.51662	91.53	5.72	62.93
High-quality	Feces	fecal_MAG_119	173	2713979	29	27057	0.50956	82.25	1.69	73.8
High-quality	Feces	fecal_MAG_12	422	2292210	89	7586	0.50897	97.52	2.81	83.47
High-quality	Feces	fecal_MAG_120	80	2077052	14	47891	0.42503	81.21	0.36	79.41
High-quality	Feces	fecal_MAG_121	268	1397053	65	6797	0.45690	86.52	3.37	69.67
High-quality	Feces	fecal_MAG_122	83	2338220	16	49996	0.41417	96.23	1.32	89.63
High-quality	Feces	fecal_MAG_123	403	1403439	91	4524	0.52101	87.8	1.31	81.25
High-quality	Feces	fecal_MAG_124	377	2533719	101	8279	0.37479	84.67	4.27	63.32
High-quality	Feces	fecal_MAG_125	125	2115566	22	30187	0.45616	99.4	1.5	91.9
High-quality	Feces	fecal_MAG_126	175	1948081	29	17515	0.46147	93.17	0.13	92.52
High-quality	Feces	fecal_MAG_127	378	2840152	90	10022	0.51966	83.41	3.47	66.06
High-quality	Feces	fecal_MAG_128	84	2119516	17	32902	0.45712	96.07	0.96	91.27
High-quality	Feces	fecal_MAG_129	102	3091764	15	67274	0.37819	97.99	1.34	91.29
High-quality	Feces	fecal_MAG_13	608	2153951	160	4195	0.47933	83.91	2.57	71.06
High-quality	Feces	fecal_MAG_130	34	1399425	5	89566	0.29273	94.38	2.81	80.33
High-quality	Feces	fecal_MAG_131	143	3019833	33	28395	0.48607	92.88	1.52	85.28
High-quality	Feces	fecal_MAG_132	80	2632189	7	127703	0.47176	89.9	2.49	77.45
High-quality	Feces	fecal_MAG_133	90	1623799	15	40517	0.39007	96.15	0.0	96.15
High-quality	Feces	fecal_MAG_134	153	2603048	15	34539	0.47441	90.16	2.01	80.11
High-quality	Feces	fecal_MAG_135	199	3075980	25	37113	0.38777	98.58	2.11	88.03
High-quality	Feces	fecal_MAG_136	141	2780246	19	43814	0.43249	91.51	7.78	52.61
High-quality	Feces	fecal_MAG_137	210	2233985	37	18976	0.35716	99.67	3.14	83.97
High-quality	Feces	fecal_MAG_138	124	2174497	17	41942	0.46208	90.0	4.0	70
High-quality	Feces	fecal_MAG_139	78	2008013	15	48587	0.44281	89.13	0.4	87.13
High-quality	Feces	fecal_MAG_14	832	2405967	232	3344	0.56933	82.37	4.68	58.97
High-quality	Feces	fecal_MAG_140	556	1995622	126	4597	0.51428	94.33	0.68	90.93
High-quality	Feces	fecal_MAG_141	231	3108287	43	22994	0.45801	95.27	1.14	89.57
High-quality	Feces	fecal_MAG_142	153	2850667	25	37073	0.41861	96.26	1.69	87.81
High-quality	Feces	fecal_MAG_143	186	2049503	40	15374	0.48007	87.14	1.83	77.99
High-quality	Feces	fecal_MAG_144	62	1851360	15	40756	0.53768	91.28	0.0	91.28
High-quality	Feces	fecal_MAG_145	112	2998067	22	49325	0.58647	93.96	2.01	83.91
High-quality	Feces	fecal_MAG_146	44	2392626	9	88792	0.40876	98.68	0.09	98.23
High-quality	Feces	fecal_MAG_147	184	1653160	40	12056	0.48147	87.9	0.32	86.3
High-quality	Feces	fecal_MAG_148	63	1830971	14	39466	0.63519	97.07	0.0	97.07
High-quality	Feces	fecal_MAG_149	148	1865540	30	18112	0.51457	96.63	0.03	96.48
High-quality	Feces	fecal_MAG_15	183	2070685	28	20230	0.45314	92.74	1.43	85.59
High-quality	Feces	fecal_MAG_150	717	1672006	205	2577	0.40617	81.41	2.07	71.06
High-quality	Feces	fecal_MAG_151	127	2555615	18	45706	0.27310	96.0	2.67	82.65
High-quality	Feces	fecal_MAG_152	80	2182867	13	59941	0.50254	96.88	0.0	96.88
High-quality	Feces	fecal_MAG_153	355	2286788	71	9086	0.44568	91.19	4.28	69.79
High-quality	Feces	fecal_MAG_154	96	2437132	15	45954	0.46789	82.51	2.54	69.81
High-quality	Feces	fecal_MAG_155	359	1739463	92	5812	0.36050	88.2	3.68	69.8
High-quality	Feces	fecal_MAG_156	100	3146735	19	59363	0.45002	96.96	1.35	90.21
High-quality	Feces	fecal_MAG_157	48	2445782	9	91589	0.47844	92.18	1.32	85.58
High-quality	Feces	fecal_MAG_158	164	2883266	14	47144	0.33031	100.0	0.0	100
High-quality	Feces	fecal_MAG_159	48	1502133	6	105952	0.45440	85.08	4.44	62.88
High-quality	Feces	fecal_MAG_16	93	2111624	20	30779	0.39075	86.78	0.38	84.88
High-quality	Feces	fecal_MAG_160	403	2401702	75	9470	0.46740	86.47	2.56	73.67
High-quality	Feces	fecal_MAG_161	58	2802664	11	100436	0.46654	92.86	1.05	87.61
High-quality	Feces	fecal_MAG_162	134	2104193	20	29499	0.27456	88.0	2.0	78
High-quality	Feces	fecal_MAG_163	71	2605226	16	53508	0.44154	98.1	1.58	90.2
High-quality	Feces	fecal_MAG_164	492	1726854	117	4517	0.51866	92.0	4.75	68.25
High-quality	Feces	fecal_MAG_165	49	2149649	12	66072	0.44086	95.56	3.41	78.51
High-quality	Feces	fecal_MAG_166	95	2139943	20	33655	0.48364	93.06	0.89	88.61
High-quality	Feces	fecal_MAG_167	128	2053858	22	26746	0.36085	96.86	0.29	95.41
High-quality	Feces	fecal_MAG_168	468	2972154	101	8744	0.42422	86.02	3.9	66.52
High-quality	Feces	fecal_MAG_169	223	1380302	53	8603	0.46469	87.06	2.82	72.96
High-quality	Feces	fecal_MAG_17	153	1850036	35	18419	0.40534	90.79	1.21	84.74
High-quality	Feces	fecal_MAG_170	25	1536422	3	247653	0.44634	98.41	0.06	98.11
High-quality	Feces	fecal_MAG_171	363	1414640	94	4765	0.44865	81.22	3.75	62.47
High-quality	Feces	fecal_MAG_172	570	1712128	143	3558	0.51646	82.21	2.7	68.71
High-quality	Feces	fecal_MAG_173	218	2083745	36	14207	0.49527	95.67	1.5	88.17
High-quality	Feces	fecal_MAG_174	457	2103144	112	5456	0.36535	90.93	1.28	84.53
High-quality	Feces	fecal_MAG_175	536	1842114	148	3992	0.48274	80.88	4.25	59.63
High-quality	Feces	fecal_MAG_176	18	2044233	3	288335	0.54417	99.52	1.12	93.92
High-quality	Feces	fecal_MAG_177	109	2744248	13	63742	0.37084	86.69	0.92	82.09
High-quality	Feces	fecal_MAG_178	80	2461642	17	50437	0.41066	98.68	0.19	97.73
High-quality	Feces	fecal_MAG_179	267	1334580	77	5715	0.41355	83.85	3.22	67.75
High-quality	Feces	fecal_MAG_18	91	1771550	18	29479	0.46730	92.39	2.03	82.24
High-quality	Feces	fecal_MAG_180	78	2076645	13	43027	0.34069	97.18	1.01	92.13
High-quality	Feces	fecal_MAG_181	203	3102521	20	39374	0.29502	96.77	2.56	83.97
High-quality	Feces	fecal_MAG_182	354	1544129	81	5746	0.44386	88.85	4.7	65.35
High-quality	Feces	fecal_MAG_183	718	3448766	168	5858	0.45328	94.69	7.32	58.09
High-quality	Feces	fecal_MAG_184	499	1564991	134	3900	0.49361	85.5	2.64	72.3
High-quality	Feces	fecal_MAG_185	308	1434859	71	6205	0.51307	92.62	4.22	71.52
High-quality	Feces	fecal_MAG_186	211	1463700	44	9418	0.44804	91.4	1.14	85.7
High-quality	Feces	fecal_MAG_187	166	1869634	35	16832	0.31821	86.55	1.49	79.1
High-quality	Feces	fecal_MAG_188	220	2041144	43	13496	0.35666	96.44	0.0	96.44
High-quality	Feces	fecal_MAG_189	51	2360758	11	75311	0.37788	98.39	0.02	98.29
High-quality	Feces	fecal_MAG_19	193	1696205	49	10765	0.48467	95.08	1.92	85.48
High-quality	Feces	fecal_MAG_190	165	1646757	32	15601	0.49448	88.07	2.68	74.67
High-quality	Feces	fecal_MAG_191	60	1440439	11	36918	0.25024	93.11	0.56	90.31
High-quality	Feces	fecal_MAG_192	82	2861734	11	77375	0.45163	95.65	2.94	80.95
High-quality	Feces	fecal_MAG_193	35	1624607	8	60165	0.47297	84.46	0.04	84.26
