Quality_assessment	SampleType	MAG_ID	n_contigs	Total_length	L50	N50	Largest_contig	Average_GC	Completeness	Contamination	Quality_score	Genome_Coverage
High-quality	Feces	fecal_MAG_1	277	2043674	66	9503	45300	0.47128	85.34	0.71	81.79	10x
High-quality	Feces	fecal_MAG_10	46	2380854	11	83366	164854	0.37817	96.56	0	96.56	16x
High-quality	Feces	fecal_MAG_100	218	2401202	49	16192	46545	0.46236	95.62	0.92	91.02	14x
High-quality	Feces	fecal_MAG_101	428	2771537	83	9467	64119	0.4794	87.03	6.54	54.33	6x
High-quality	Feces	fecal_MAG_102	811	3744890	190	5762	37747	0.51557	85.84	2.54	73.14	5x
High-quality	Feces	fecal_MAG_103	684	1703199	188	2849	11857	0.36173	83.25	4.09	62.8	1x
High-quality	Feces	fecal_MAG_104	651	2595829	153	4920	49186	0.56853	89.13	3.54	71.43	5x
High-quality	Feces	fecal_MAG_105	401	2363766	62	10662	45791	0.47183	90.19	6.19	59.24	6x
High-quality	Feces	fecal_MAG_106	82	2206419	20	35655	88098	0.58322	94.15	1.13	88.5	13x
High-quality	Feces	fecal_MAG_107	134	1749941	23	21127	106777	0.44813	84.49	0.74	80.79	10x
High-quality	Feces	fecal_MAG_108	80	2173223	16	44740	103899	0.53857	96.42	0	96.42	13x
High-quality	Feces	fecal_MAG_109	87	2063926	20	34729	97704	0.35101	90.16	0.67	86.81	14x
High-quality	Feces	fecal_MAG_11	407	1600483	94	5198	29534	0.53881	84.79	5.17	58.94	8x
High-quality	Feces	fecal_MAG_110	135	1745812	28	20753	53735	0.55623	82.2	1.34	75.5	13x
High-quality	Feces	fecal_MAG_111	182	1349280	42	9261	43502	0.47542	82.61	0.67	79.26	9x
High-quality	Feces	fecal_MAG_112	208	2221697	37	16894	131104	0.38954	95.08	3.02	79.98	6x
High-quality	Feces	fecal_MAG_113	616	2102652	144	4242	43342	0.48402	86.84	2.76	73.04	4x
High-quality	Feces	fecal_MAG_114	430	1239914	106	3405	13510	0.5211	82.11	1.85	72.86	7x
High-quality	Feces	fecal_MAG_115	322	2945212	72	13098	68428	0.49914	95.29	0.06	94.99	10x
High-quality	Feces	fecal_MAG_116	387	2001946	89	6349	42109	0.54517	88.7	2.2	77.7	8x
High-quality	Feces	fecal_MAG_117	419	2177743	93	7017	35331	0.50718	93.39	3.08	77.99	8x
High-quality	Feces	fecal_MAG_118	506	2001109	102	5368	26079	0.51662	91.53	5.72	62.93	1x
High-quality	Feces	fecal_MAG_119	173	2713979	29	27057	166739	0.50956	82.25	1.69	73.8	21x
High-quality	Feces	fecal_MAG_12	422	2292210	89	7586	41335	0.50897	97.52	2.81	83.47	4x
High-quality	Feces	fecal_MAG_120	80	2077052	14	47891	108198	0.42503	81.21	0.36	79.41	10x
