genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
Xie_et_al_GCA_017404245.1_ASM1740424v1.fna,1_0,0.050000000000000044,average,fastANI,1
Xie_et_al_GCA_017433765.1_ASM1743376v1.fna,2_0,0.050000000000000044,average,fastANI,2
Lin_et_al_HF_Rectum-3.concoct.215.contigs.fa,3_1,0.050000000000000044,average,fastANI,3
Xie_et_al_GCA_017418275.1_ASM1741827v1.fna,3_2,0.050000000000000044,average,fastANI,3
Lin_et_al_HG_Jejunum-7.maxbin.039.contigs.fa,4_0,0.050000000000000044,average,fastANI,4
Xie_et_al_GCA_017531585.1_ASM1753158v1.fna,5_0,0.050000000000000044,average,fastANI,5
Xie_et_al_GCA_017475975.1_ASM1747597v1.fna,6_0,0.050000000000000044,average,fastANI,6
Xie_et_al_GCA_017432705.1_ASM1743270v1.fna,7_1,0.050000000000000044,average,fastANI,7
Xie_et_al_GCA_017510805.1_ASM1751080v1.fna,7_1,0.050000000000000044,average,fastANI,7
Xie_et_al_GCA_017511685.1_ASM1751168v1.fna,8_1,0.050000000000000044,average,fastANI,8
Xie_et_al_GCA_017545785.1_ASM1754578v1.fna,8_1,0.050000000000000044,average,fastANI,8
Xie_et_al_GCA_017433845.1_ASM1743384v1.fna,9_0,0.050000000000000044,average,fastANI,9
Xie_et_al_GCA_017510305.1_ASM1751030v1.fna,10_0,0.050000000000000044,average,fastANI,10
Xie_et_al_GCA_017510205.1_ASM1751020v1.fna,11_0,0.050000000000000044,average,fastANI,11
Xie_et_al_GCA_017515125.1_ASM1751512v1.fna,12_0,0.050000000000000044,average,fastANI,12
Xie_et_al_GCA_017434055.1_ASM1743405v1.fna,13_0,0.050000000000000044,average,fastANI,13
Xie_et_al_GCA_017545595.1_ASM1754559v1.fna,14_0,0.050000000000000044,average,fastANI,14
Xie_et_al_GCA_017404215.1_ASM1740421v1.fna,15_0,0.050000000000000044,average,fastANI,15
Xie_et_al_GCA_017406405.1_ASM1740640v1.fna,16_0,0.050000000000000044,average,fastANI,16
Xie_et_al_GCA_017511405.1_ASM1751140v1.fna,17_0,0.050000000000000044,average,fastANI,17
Xie_et_al_GCA_017405365.1_ASM1740536v1.fna,18_1,0.050000000000000044,average,fastANI,18
Xie_et_al_GCA_017421685.1_ASM1742168v1.fna,18_1,0.050000000000000044,average,fastANI,18
Xie_et_al_GCA_017434395.1_ASM1743439v1.fna,18_1,0.050000000000000044,average,fastANI,18
Xie_et_al_GCA_017430865.1_ASM1743086v1.fna,19_0,0.050000000000000044,average,fastANI,19
Xie_et_al_GCA_017512205.1_ASM1751220v1.fna,20_0,0.050000000000000044,average,fastANI,20
Xie_et_al_GCA_017405265.1_ASM1740526v1.fna,21_0,0.050000000000000044,average,fastANI,21
Xie_et_al_GCA_017434345.1_ASM1743434v1.fna,22_0,0.050000000000000044,average,fastANI,22
Xie_et_al_GCA_017431105.1_ASM1743110v1.fna,23_1,0.050000000000000044,average,fastANI,23
Xie_et_al_GCA_017545625.1_ASM1754562v1.fna,23_1,0.050000000000000044,average,fastANI,23
Xie_et_al_GCA_017431945.1_ASM1743194v1.fna,24_0,0.050000000000000044,average,fastANI,24
Xie_et_al_GCA_017514665.1_ASM1751466v1.fna,25_0,0.050000000000000044,average,fastANI,25
Xie_et_al_GCA_017511965.1_ASM1751196v1.fna,26_0,0.050000000000000044,average,fastANI,26
Xie_et_al_GCA_017514605.1_ASM1751460v1.fna,27_0,0.050000000000000044,average,fastANI,27
Xie_et_al_GCA_017421325.1_ASM1742132v1.fna,28_0,0.050000000000000044,average,fastANI,28
Xie_et_al_GCA_017430785.1_ASM1743078v1.fna,29_0,0.050000000000000044,average,fastANI,29
Lin_et_al_HF_Colon-6.maxbin.178_sub.contigs.fa,30_0,0.050000000000000044,average,fastANI,30
Xie_et_al_GCA_017459385.1_ASM1745938v1.fna,31_0,0.050000000000000044,average,fastANI,31
Xie_et_al_GCA_017514145.1_ASM1751414v1.fna,32_0,0.050000000000000044,average,fastANI,32
Xie_et_al_GCA_017524405.1_ASM1752440v1.fna,33_1,0.050000000000000044,average,fastANI,33
Xie_et_al_GCA_017540725.1_ASM1754072v1.fna,33_1,0.050000000000000044,average,fastANI,33
Xie_et_al_GCA_017963965.1_ASM1796396v1.fna,34_0,0.050000000000000044,average,fastANI,34
Xie_et_al_GCA_017548735.1_ASM1754873v1.fna,35_0,0.050000000000000044,average,fastANI,35
Xie_et_al_GCA_017963905.1_ASM1796390v1.fna,36_0,0.050000000000000044,average,fastANI,36
Xie_et_al_GCA_017550565.1_ASM1755056v1.fna,37_0,0.050000000000000044,average,fastANI,37
Xie_et_al_GCA_017510385.1_ASM1751038v1.fna,38_1,0.050000000000000044,average,fastANI,38
Xie_et_al_GCA_017510835.1_ASM1751083v1.fna,38_1,0.050000000000000044,average,fastANI,38
Xie_et_al_GCA_017514805.1_ASM1751480v1.fna,39_0,0.050000000000000044,average,fastANI,39
Lin_et_al_HF_Abomasum-3.concoct.129.contigs.fa,40_1,0.050000000000000044,average,fastANI,40
Lin_et_al_HF_Duodenum-3.concoct.116.contigs.fa,40_1,0.050000000000000044,average,fastANI,40
Lin_et_al_HG_Abomasum-11.metabat2.028.contigs.fa,40_1,0.050000000000000044,average,fastANI,40
Lin_et_al_HG_Omasum-11.metabat2.086.contigs.fa,40_1,0.050000000000000044,average,fastANI,40
Lin_et_al_HG_Reticulum-11.metabat2.006.contigs.fa,40_1,0.050000000000000044,average,fastANI,40
Lin_et_al_HG_Rumen-11.metabat2.082.contigs.fa,40_1,0.050000000000000044,average,fastANI,40
Lin_et_al_HG_Jejunum-12.metabat2.059.contigs.fa,41_1,0.050000000000000044,average,fastANI,41
Lin_et_al_HG_Reticulum-12.metabat2.093.contigs.fa,41_1,0.050000000000000044,average,fastANI,41
Lin_et_al_HG_Rumen-12.concoct.173.contigs.fa,41_1,0.050000000000000044,average,fastANI,41
Lin_et_al_HG_Omasum-10.maxbin.071.contigs.fa,42_1,0.050000000000000044,average,fastANI,42
